trip_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,City,passenger_count,pickup_day,pickup_month,pickup_year,pickup_hour,pickup_minute,pickup_second,fare_amount
50,-73.992256,40.742657,-73.9836,40.755947,New York,1,29,1,2013,12,26,0,9.0
51,-73.98558,40.739765,-73.9739,40.760426,New York,1,6,12,2011,9,9,21,9.7
52,-73.95283,40.77205,-73.952194,40.78115,New York,3,6,10,2012,20,31,36,5.5
53,-73.9803,40.783722,-73.97963,40.76318,New York,1,23,1,2013,7,1,38,8.0
54,-73.97771,40.746212,-73.975784,40.745056,New York,1,7,9,2013,3,17,0,7.5
55,-73.974495,40.751602,-73.93493,40.851566,New York,4,10,11,2013,1,12,19,25.5
56,-73.97151,40.755886,-73.96806,40.801174,New York,1,4,1,2012,18,7,29,15.3
57,-73.98543,40.758854,-73.87291,40.774498,New York,1,31,5,2010,18,6,0,34.67
58,-73.979546,40.727497,-73.99931,40.730087,New York,4,19,3,2011,21,55,0,9.7
59,-74.00211,40.739582,-73.97192,40.7919,New York,2,19,7,2012,23,53,14,13.7
60,-73.98543,40.73601,-73.9825,40.7248,New York,1,23,3,2009,12,13,29,6.5
61,-73.99615,40.74189,-73.9922,40.739426,New York,6,16,7,2014,10,57,0,5.0
62,-74.00914,40.713436,-74.00282,40.723427,New York,3,22,4,2011,23,21,3,4.5
63,-74.00398,40.731678,-73.99976,40.72351,New York,1,2,1,2012,14,54,0,4.9
64,-73.9662,40.7675,-73.98091,40.77424,New York,6,1,5,2014,9,12,0,7.0
65,-74.00392,40.753017,-73.99237,40.735363,New York,1,7,11,2011,10,47,40,7.3
66,-74.00474,40.71588,-74.01772,40.70514,New York,1,7,10,2012,17,59,8,7.5
67,-73.99147,40.750576,-73.98575,40.741547,New York,4,17,1,2014,9,3,0,8.5
68,-73.97032,40.75084,-73.99839,40.72486,New York,6,29,4,2014,18,28,0,16.5
69,-73.97928,40.72344,-74.00461,40.74695,New York,6,12,4,2015,10,19,5,11.5
70,-73.954796,40.779335,-73.94493,40.780087,New York,1,12,5,2015,23,51,42,5.0
71,-73.99578,40.72341,-74.005005,40.71895,New York,2,2,8,2009,2,34,11,6.9
72,-74.00163,40.730766,-73.99711,40.737534,New York,1,31,1,2010,10,53,0,3.7
73,-73.95512,40.768944,-73.96349,40.761887,New York,2,14,5,2010,8,9,0,6.9
74,-73.97779,40.77184,-73.9662,40.778114,New York,2,21,5,2012,15,20,0,10.1
75,-73.9828,40.74529,-74.01425,40.702934,New York,1,8,12,2014,16,0,1,16.5
76,-73.96193,40.795586,-73.96225,40.764816,New York,2,16,8,2010,1,33,0,15.07
77,-73.9966,40.73657,-73.982155,40.744324,New York,1,4,12,2010,14,26,13,7.7
78,-74.00666,40.73121,-73.92594,40.82559,New York,1,12,8,2011,4,20,0,24.9
79,-73.98843,40.764343,-74.00164,40.74575,New York,2,6,2,2013,22,16,0,7.0
80,-73.994125,40.73509,-73.9864,40.75146,New York,1,11,6,2014,22,24,21,8.5
81,-73.97383,40.763718,-73.98942,40.771523,New York,1,19,8,2010,16,33,0,5.7
82,-74.01336,40.70227,-74.01699,40.709244,New York,1,10,3,2013,15,44,0,5.0
83,-73.95371,40.790813,-73.957016,40.777676,New York,1,14,6,2013,8,27,43,8.5
84,-74.00973,40.705166,-73.970894,40.749306,New York,1,8,7,2013,21,24,0,17.0
85,-73.95069,40.82853,-73.9641,40.80814,New York,1,21,3,2014,11,0,29,8.0
86,-73.995384,40.74948,-73.97579,40.74874,New York,1,2,10,2014,13,39,56,12.0
87,-73.9174,40.746487,-73.973755,40.763836,New York,1,31,8,2011,8,21,47,12.5
88,-73.990814,40.730495,-73.97834,40.751083,New York,1,19,5,2014,6,26,0,7.5
89,-74.00745,40.732548,-73.99111,40.742313,New York,5,5,4,2012,5,50,0,6.9
90,-73.98875,40.744953,-73.99568,40.74422,New York,2,4,3,2015,14,55,40,5.0
91,-74.00114,40.73098,-73.98442,40.76463,New York,1,27,4,2010,21,40,7,10.5
92,-73.96888,40.764534,-73.98531,40.748955,New York,1,22,2,2011,11,9,16,7.7
93,-73.98106,40.774265,-73.959045,40.780674,New York,2,3,4,2015,16,21,30,11.0
94,-73.99283,40.75127,-73.98279,40.74243,New York,1,9,1,2009,15,1,20,5.7
95,-73.94685,40.775803,-73.96434,40.760704,New York,1,9,1,2013,14,42,0,9.0
96,-73.95065,40.783283,-73.98437,40.769802,New York,1,6,7,2013,17,18,0,13.5
97,-73.97651,40.765278,-73.97767,40.778053,New York,1,8,10,2013,17,29,0,7.5
98,-73.98498,40.75212,-74.00092,40.75798,New York,1,7,12,2014,12,26,0,9.0
99,-73.97921,40.723682,-74.01746,40.711395,New York,1,17,5,2015,8,2,59,14.0
100,-73.983055,40.722588,-73.98802,40.733738,New York,3,9,6,2011,0,53,0,5.7
101,-74.00258,40.73957,-73.99458,40.76068,New York,1,12,11,2014,12,40,29,10.0
102,-73.993454,40.761448,-73.97966,40.759617,New York,5,4,6,2010,14,49,0,5.7
103,-73.9707,40.761642,-73.992836,40.727646,New York,2,8,11,2010,20,42,0,9.7
104,-73.974495,40.75137,-74.01058,40.703365,New York,1,9,3,2011,7,24,34,14.1
105,-73.99161,40.76318,-73.98272,40.76239,New York,2,4,8,2011,10,38,0,7.7
106,-74.035835,40.74732,-74.035835,40.74732,New York,1,25,3,2009,0,8,52,52.0
107,-74.00767,40.732178,-73.97466,40.75893,New York,1,22,3,2010,10,1,0,11.3
108,-73.98668,40.72566,-73.977066,40.754505,New York,1,25,3,2012,9,22,45,8.5
109,-73.96532,40.79085,-73.978195,40.766376,New York,6,5,6,2012,9,16,0,12.9
110,-73.9722,40.765884,-73.96794,40.76195,New York,1,6,11,2012,11,33,14,9.5
111,-73.98227,40.748356,-73.96932,40.763878,New York,1,22,5,2014,18,30,0,9.0
112,-73.9918,40.735264,-73.975914,40.748695,New York,6,17,10,2014,8,28,0,10.0
113,-73.95331,40.787773,-73.94435,40.719772,New York,2,6,12,2012,18,5,0,35.0
114,-73.96083,40.77308,-73.97837,40.774906,New York,1,6,12,2012,18,5,0,9.0
115,-73.97339,40.74388,-73.95402,40.766064,New York,1,20,7,2014,12,48,35,17.0
116,-74.00012,40.74308,-74.00615,40.734234,New York,5,25,1,2009,18,41,0,6.1
117,-73.9616,40.716488,-73.96042,40.674965,New York,2,27,3,2010,2,26,39,14.5
118,-73.96696,40.76127,-73.96791,40.765533,New York,1,5,1,2011,17,39,0,3.7
119,-73.87286,40.774105,-73.9706,40.764393,New York,2,11,5,2012,15,3,53,32.5
120,-73.99509,40.73953,-73.999596,40.726265,New York,3,3,1,2010,10,20,12,5.3
121,-73.972015,40.75014,-74.006004,40.73622,New York,5,8,11,2012,21,0,0,11.5
122,-73.9937,40.74157,-73.988,40.748833,New York,1,23,11,2013,23,34,3,4.0
123,-73.96648,40.7575,-73.99334,40.745052,New York,1,17,6,2010,16,12,58,10.5
124,-73.87082,40.773746,-73.80832,40.7003,New York,1,19,8,2012,19,56,34,17.7
125,0.0,0.0,0.0,0.0,New York,2,17,1,2013,17,22,0,8.0
126,-73.971695,40.76338,-73.962036,40.7766,New York,1,10,5,2013,16,39,8,5.0
127,-73.98721,40.729324,-73.931984,40.69721,New York,1,17,9,2013,4,22,0,19.0
128,-73.988495,40.717976,-73.97818,40.737408,New York,1,6,1,2014,21,21,0,8.0
129,-73.98659,40.72165,-74.008,40.717167,New York,2,30,9,2010,8,38,0,7.3
130,-73.98213,40.774807,-73.97358,40.789646,New York,5,6,10,2012,15,47,0,6.5
131,-74.002846,40.733692,-73.987885,40.72859,New York,1,11,2,2013,0,13,0,8.0
132,-73.98383,40.676052,-74.002525,40.723145,New York,1,12,9,2014,23,10,0,16.5
133,-73.97702,40.7526,-73.79031,40.643784,New York,2,22,9,2009,21,14,0,49.57
134,-73.98801,40.737724,-73.9657,40.766094,New York,1,3,2,2012,13,46,35,10.5
135,-73.9882,40.75909,-73.92368,40.86861,New York,5,12,2,2012,1,26,0,22.5
136,-73.94747,40.77123,-73.981834,40.760273,New York,1,21,12,2012,6,47,0,11.5
137,-73.984726,40.748024,-73.97724,40.757893,New York,2,1,11,2014,16,51,9,12.5
138,-73.9503,40.785606,-73.94359,40.78953,New York,1,26,1,2013,18,36,0,5.5
139,-73.980736,40.74791,-73.97053,40.761997,New York,1,20,5,2013,11,3,50,6.5
140,-73.99699,40.75543,-73.95319,40.8021,New York,3,31,5,2015,7,33,18,16.5
141,-74.00345,40.7331,-74.008,40.707214,New York,1,15,2,2015,22,41,32,9.0
142,-73.9578,40.768,-73.98171,40.763393,New York,1,25,6,2009,10,29,0,8.9
143,-73.983734,40.746696,-73.954414,40.77222,New York,1,23,7,2009,17,5,10,10.9
144,-73.98103,40.729782,-73.99301,40.752804,New York,1,19,3,2011,15,0,27,8.9
145,-73.96311,40.774033,-73.97525,40.760822,New York,1,6,5,2011,11,37,14,8.5
146,-73.962456,40.759026,-73.9862,40.7534,New York,1,8,2,2013,9,50,4,17.0
147,-74.003845,40.720856,-73.98098,40.668304,New York,1,24,8,2010,1,39,26,12.5
148,-73.98226,40.762062,-73.76855,40.675137,New York,1,13,5,2014,22,19,0,52.5
149,-74.00568,40.74555,-73.96266,40.794296,New York,1,25,10,2014,21,24,0,16.0
150,-73.98549,40.74728,-74.007675,40.74077,New York,1,19,4,2015,22,21,12,8.0
151,-73.95097,40.785633,-74.01024,40.720303,New York,1,17,5,2010,7,44,0,17.3
152,-74.00844,40.711254,-74.00131,40.73108,New York,1,26,10,2011,3,37,0,5.7
153,-73.98091,40.742065,-73.97699,40.751656,New York,1,18,4,2015,9,30,31,5.5
154,-73.97494,40.762093,-74.00331,40.706196,New York,2,27,2,2009,13,31,21,16.5
155,-73.98076,40.680557,-73.98911,40.726788,New York,2,16,7,2009,20,33,0,12.9
156,-73.99124,40.73906,-73.99297,40.76768,New York,1,16,5,2011,13,10,38,10.1
157,-73.992584,40.730415,-74.00535,40.740246,New York,1,9,8,2013,21,19,0,9.5
158,-73.97987,40.749027,-73.976555,40.7575,New York,5,14,3,2010,15,40,0,4.5
159,-73.97154,40.764008,-73.97594,40.75597,New York,1,27,4,2011,13,19,48,6.5
160,-74.0011,40.721497,-73.959435,40.653065,New York,1,30,1,2015,0,16,6,21.5
161,-73.97519,40.759094,-73.98051,40.76761,New York,1,4,11,2014,12,11,19,8.0
162,-74.00302,40.73978,-73.99153,40.73309,New York,1,27,12,2009,21,7,39,4.9
163,-73.991035,40.75005,-73.98044,40.75193,New York,2,4,7,2010,13,7,47,5.7
164,-73.94948,40.768017,-74.00312,40.73302,New York,5,12,6,2011,13,33,0,15.3
165,-73.99221,40.758865,-73.9938,40.722717,New York,1,28,8,2012,12,29,40,14.9
166,-74.0,40.727085,-73.99245,40.735603,New York,1,11,11,2012,18,23,0,7.0
167,-73.86389,40.770004,-74.00725,40.705532,New York,1,24,3,2013,18,5,42,35.5
168,-73.9546,40.78676,-73.96601,40.768112,New York,1,13,8,2014,8,26,0,8.5
169,-73.99414,40.751194,-73.9889,40.759743,New York,1,16,1,2009,21,10,0,4.5
170,-73.98228,40.768364,-73.98597,40.76294,New York,1,21,1,2011,18,43,46,4.1
171,-73.9815,40.781006,-73.99592,40.73881,New York,1,26,2,2011,20,27,36,11.7
172,-73.99773,40.746098,-73.947655,40.829453,New York,1,22,6,2013,2,35,1,23.0
173,-73.98235,40.762497,-73.97321,40.755344,New York,2,6,6,2009,23,56,0,5.7
174,-73.96707,40.769176,-73.954895,40.77821,New York,1,24,1,2009,9,51,0,5.3
175,-73.94402,40.77596,-73.95505,40.78508,New York,1,27,2,2015,7,50,56,10.5
176,-73.98209,40.774002,-73.97537,40.78711,New York,1,25,3,2009,14,48,49,4.9
177,-73.98353,40.76699,-73.98625,40.77971,New York,4,10,9,2010,18,45,0,6.5
178,-73.981155,40.729202,-74.00741,40.74851,New York,2,31,8,2011,13,47,2,11.3
179,-73.96351,40.76173,-73.91749,40.739777,New York,1,12,4,2013,4,39,51,11.5
180,-73.98341,40.761845,-73.99042,40.756374,New York,2,29,5,2009,9,46,11,5.3
181,-74.00606,40.733166,-74.00289,40.74553,New York,1,15,7,2010,19,9,1,5.7
182,-73.952194,40.78811,-73.98077,40.774994,New York,1,7,9,2009,18,52,0,8.1
183,-74.00808,40.71924,-73.99832,40.737976,New York,1,9,6,2010,6,20,32,6.1
184,-73.995636,40.746574,-73.984436,40.767143,New York,1,15,4,2012,17,2,44,9.3
185,-73.97207,40.75569,-73.972084,40.755726,New York,2,6,2,2013,14,52,0,4.5
186,-73.99049,40.75598,-73.974205,40.75421,New York,4,13,12,2011,5,56,0,5.7
187,-73.95485,40.76542,-74.00751,40.73877,New York,2,27,7,2014,8,22,0,16.5
188,-73.95446,40.764046,-73.99459,40.72927,New York,2,6,6,2013,15,23,56,17.0
189,-74.01278,40.70795,-73.99793,40.76063,New York,6,12,7,2014,15,22,0,24.5
190,-74.00528,40.7353,-73.986694,40.729893,New York,1,25,5,2010,20,14,0,6.1
191,-74.00494,40.729626,-74.01616,40.71741,New York,1,8,9,2012,0,49,20,6.0
192,-73.99849,40.726303,-73.99849,40.726303,New York,1,8,1,2014,21,55,58,6.5
193,0.0,0.0,0.0,0.0,New York,5,5,9,2010,17,8,0,3.7
194,-73.9265,40.765575,-73.9379,40.76451,New York,3,30,8,2012,18,57,0,4.5
195,-73.98728,40.71862,-73.9593,40.77848,New York,1,2,5,2013,7,41,0,27.0
196,-73.99665,40.744495,-73.980255,40.737637,New York,1,5,2,2014,0,28,0,16.0
197,-73.95922,40.763283,-73.9633,40.716934,New York,1,12,1,2010,17,11,0,16.1
198,-73.97489,40.751453,-73.98175,40.783543,New York,2,7,11,2010,17,14,23,15.7
199,-73.863075,40.768623,-73.98215,40.736168,New York,6,22,4,2012,0,35,0,26.9
200,-73.98969,40.735497,-73.98201,40.73939,New York,1,5,1,2013,21,36,0,5.5
201,-74.00031,40.74796,-73.99364,40.75723,New York,1,5,10,2013,9,12,21,6.0
202,-74.00145,40.717487,-74.017456,40.709785,New York,1,16,11,2009,23,53,0,7.7
203,-73.98518,40.72777,-73.980606,40.759144,New York,1,5,4,2011,11,29,0,12.9
204,-73.99397,40.74658,-74.00506,40.709366,New York,1,25,4,2012,20,39,0,11.3
205,-73.79568,40.80772,-73.97868,40.724365,New York,2,10,1,2011,16,7,0,42.5
206,-73.98637,40.74738,-73.97557,40.74457,New York,2,14,1,2011,18,10,0,5.7
207,-73.948,40.77854,-73.958565,40.778484,New York,2,2,4,2012,8,2,16,5.3
208,-73.95411,40.7669,-73.98413,40.743477,New York,1,10,2,2010,8,57,54,10.5
209,-73.99401,40.76144,-73.97281,40.792576,New York,1,31,5,2011,22,21,1,7.3
210,-73.99533,40.739986,-73.987656,40.736706,New York,1,26,9,2011,9,32,42,4.5
211,-73.98233,40.768635,-73.983345,40.744373,New York,1,23,10,2012,8,9,25,12.5
212,-73.9952,40.731697,-73.94977,40.780346,New York,1,7,9,2013,22,29,0,16.5
213,-74.00271,40.72664,-73.99182,40.72722,New York,2,31,7,2012,19,20,0,4.9
214,-73.99095,40.733067,-73.99624,40.72557,New York,1,26,8,2011,8,0,0,4.1
215,-73.98513,40.76853,-74.00228,40.730007,New York,1,17,3,2013,12,56,58,15.5
216,-73.97221,40.76557,-73.97958,40.73647,New York,1,25,5,2015,15,11,9,11.0
217,-73.99828,40.72749,-73.98985,40.735237,New York,2,8,4,2009,19,11,10,4.9
218,-73.980194,40.726967,-73.95641,40.77547,New York,1,6,6,2009,1,57,52,11.3
219,-73.98376,40.74643,-73.963554,40.77409,New York,1,27,2,2011,14,45,0,7.3
220,-73.95527,40.78277,-73.93238,40.79481,New York,6,13,1,2012,11,28,0,14.9
221,-73.98194,40.763977,-73.87045,40.773605,New York,5,16,3,2012,7,58,0,30.9
222,-73.98972,40.75238,-74.00755,40.7432,New York,1,18,6,2012,20,57,27,6.1
223,-73.995804,40.749905,-73.994545,40.750908,New York,1,23,2,2010,9,49,0,3.3
224,-73.99186,40.754276,-73.983795,40.753212,New York,1,6,1,2012,7,5,8,4.1
225,-73.973854,40.764187,-73.99444,40.75024,New York,3,21,7,2014,14,3,0,12.0
226,-73.991486,40.7546,-74.00497,40.751694,New York,1,5,8,2014,11,44,33,9.0
227,-73.98914,40.720104,-73.98878,40.72066,New York,1,29,3,2012,3,51,0,2.5
228,-73.98948,40.743286,-73.96569,40.754513,New York,1,30,6,2012,13,43,0,8.9
229,-73.97899,40.72375,-73.96304,40.711857,New York,1,31,1,2014,4,49,53,10.5
230,-74.00055,40.727493,-74.005035,40.719124,New York,1,16,11,2010,19,40,0,5.7
231,-74.002464,40.71876,-74.00707,40.705536,New York,2,15,12,2012,19,11,53,7.0
232,-73.985,40.768467,-73.944565,40.800465,New York,1,20,7,2014,23,51,54,12.0
233,-73.98248,40.75674,-73.789986,40.64691,New York,1,24,5,2010,14,24,0,49.57
234,0.0,0.0,0.0,0.0,New York,2,24,7,2011,1,14,35,8.5
235,-73.94704,40.776028,-73.9555,40.764305,New York,1,18,8,2012,18,33,0,4.5
236,-73.9779,40.762802,-73.99153,40.75025,New York,5,8,8,2009,21,32,0,7.3
237,-73.986404,40.754723,-73.9989,40.739246,New York,1,8,1,2010,0,28,0,5.3
238,-73.96742,40.75571,-73.98303,40.734913,New York,5,19,9,2010,19,28,0,6.9
239,-73.971085,40.79265,-73.96841,40.769672,New York,1,16,5,2012,18,14,0,9.3
240,-73.95967,40.779716,-73.97626,40.788414,New York,1,13,2,2009,16,54,52,6.7
241,-73.97935,40.77663,-73.97384,40.757072,New York,1,20,6,2009,19,28,37,7.3
242,-73.98088,40.77997,-73.95375,40.78777,New York,1,3,9,2013,8,8,0,9.0
243,-74.008125,40.738934,-73.98052,40.759953,New York,2,20,1,2013,14,33,27,13.0
244,-73.98883,40.76428,-73.94141,40.838665,New York,1,31,7,2013,6,51,13,19.0
245,-73.97647,40.76505,-73.96467,40.762985,New York,1,9,9,2013,22,12,59,5.5
246,-73.99607,40.732605,-73.980675,40.761864,New York,1,23,1,2009,7,28,0,8.1
247,-73.97321,40.760754,-73.974266,40.78828,New York,1,18,2,2011,13,19,49,9.3
248,-73.99785,40.721233,-73.98826,40.764126,New York,1,11,5,2013,19,51,0,18.0
249,-73.98423,40.766895,-73.96239,40.776035,New York,1,13,9,2014,12,17,0,12.0
250,-73.96854,40.7526,-73.99262,40.742916,New York,1,21,4,2009,22,59,27,7.3
251,-73.95554,40.78196,-73.9622,40.772095,New York,2,26,9,2009,15,17,20,4.9
252,-73.789505,40.64704,-73.81562,40.680363,New York,1,28,5,2010,21,33,7,16.1
253,-73.9786,40.76412,-74.00886,40.715637,New York,2,2,5,2011,8,20,11,12.9
254,-73.961975,40.77611,-73.95485,40.774075,New York,1,14,2,2015,19,0,23,4.0
255,-74.00664,40.751408,-73.95498,40.76528,New York,1,2,5,2011,12,44,59,15.3
256,-73.9545,40.769855,-73.984314,40.746006,New York,1,24,6,2012,17,33,0,11.7
257,-74.00134,40.74132,-73.92862,40.864265,New York,1,22,5,2010,23,29,57,25.3
258,-73.99311,40.71991,-73.956726,40.720722,New York,1,30,6,2010,2,22,5,8.9
259,-73.978775,40.7535,-73.97324,40.748146,New York,1,26,4,2013,2,6,0,6.0
260,-73.99578,40.716217,-74.00913,40.72078,New York,1,2,5,2013,3,57,12,6.0
261,-74.00366,40.736904,-73.99784,40.724186,New York,1,23,1,2011,11,44,28,6.5
262,-73.97733,40.74948,-73.98767,40.732708,New York,1,14,10,2012,21,6,27,7.5
263,-74.00399,40.74798,-73.98319,40.75633,New York,1,30,4,2015,14,7,57,16.5
264,-73.983246,40.734653,-73.99128,40.73892,New York,1,12,7,2010,9,44,33,4.9
265,-73.96298,40.76644,-73.98893,40.731434,New York,1,8,1,2012,19,3,15,9.7
266,-73.97935,40.784607,-73.963936,40.808144,New York,1,24,4,2012,13,0,36,7.7
267,-73.96867,40.799103,-73.9359,40.84986,New York,2,9,5,2014,9,42,16,19.0
268,-73.99006,40.756306,-73.9496,40.834465,New York,1,31,7,2009,13,53,52,16.9
269,-74.0022,40.73961,-73.98734,40.720295,New York,2,18,11,2012,12,17,0,10.5
270,-73.99633,40.753223,-73.9789,40.766964,New York,3,15,6,2011,18,7,0,8.9
271,-73.995895,40.746452,-73.995895,40.746452,New York,1,25,8,2012,1,53,42,7.5
272,-74.005585,40.740726,-74.003426,40.748707,New York,1,6,9,2012,13,41,0,5.5
273,-73.96496,40.77526,-73.94966,40.80969,New York,1,13,5,2009,18,17,0,10.9
274,0.0,0.0,0.0,0.0,New York,4,30,10,2009,18,13,0,8.1
275,-73.9676,40.75624,-73.95328,40.76833,New York,1,17,1,2010,22,7,0,5.7
276,-74.00813,40.74863,-73.95235,40.780514,New York,2,6,12,2009,11,58,29,18.1
277,-73.95394,40.7813,-73.99442,40.75014,New York,5,30,6,2010,6,15,0,10.9
278,-73.939095,40.805103,-73.95607,40.771996,New York,5,4,4,2011,18,56,0,8.9
279,-73.98163,40.78042,-74.00847,40.734013,New York,2,3,3,2014,23,30,0,13.5
280,-74.00269,40.739437,-73.994576,40.75057,New York,2,19,5,2014,20,59,26,5.0
281,-73.95875,40.781017,-73.94588,40.778164,New York,1,7,12,2011,19,40,21,5.3
282,-73.98779,40.721226,-73.992424,40.73572,New York,1,17,6,2012,2,5,53,7.7
283,-73.96947,40.79798,-73.982315,40.776768,New York,1,1,1,2013,14,26,0,9.0
284,-73.98857,40.732098,-73.9575,40.742657,New York,1,8,10,2011,0,24,0,16.1
285,-73.9666,40.794346,-73.96568,40.803806,New York,2,30,7,2012,16,19,8,4.9
286,-73.999435,40.749065,-73.99508,40.738262,New York,1,9,9,2012,10,24,15,5.5
287,-73.78113,40.645008,-73.981804,40.762516,New York,1,14,6,2013,17,37,0,57.33
288,-73.956604,40.77111,-73.97711,40.77681,New York,3,28,2,2014,22,45,7,8.5
289,-73.98193,40.777668,-73.96006,40.80969,New York,1,10,6,2014,14,18,29,9.5
290,-73.9531,40.7887,-73.95678,40.805904,New York,1,29,3,2015,13,31,25,7.5
291,-73.98243,40.745747,-73.98243,40.745747,New York,1,14,12,2009,12,33,0,6.9
292,-73.992,40.74499,-73.98624,40.729637,New York,2,21,9,2013,2,54,0,7.5
293,-73.98899,40.77701,-73.997444,40.760155,New York,1,31,8,2009,10,25,0,8.1
294,-74.006645,40.738926,-74.010826,40.717907,New York,3,18,1,2011,23,48,0,6.1
295,-73.96661,40.759277,-73.97578,40.755463,New York,1,26,6,2012,13,8,14,5.7
296,-73.987366,40.73857,-73.97722,40.775352,New York,1,21,1,2010,8,39,0,14.1
297,-73.98981,40.74123,-73.99392,40.726494,New York,1,21,7,2011,15,43,0,5.7
298,-73.95906,40.78106,-73.96206,40.768604,New York,1,6,11,2013,11,26,54,7.0
299,-73.98565,40.72212,-73.970955,40.751953,New York,1,9,2,2014,2,17,0,12.0
300,-73.95512,40.76899,-73.98424,40.74844,New York,1,18,4,2015,8,29,8,11.5
301,-73.87093,40.773705,-73.91427,40.75368,New York,1,27,3,2010,22,20,51,12.1
